Date of Data,Recipient/Sub-Recipient Name,Recipient/Sub-Recipient Address,Recipient/Sub-Recipient City,Recipient/Sub-Recipient State Abbreviation,Recipient/Sub-Recipient ZIP Code,HAB Provider Type Description,Received Part A Funding Indicator,Part A Grantee Name,Part A Grant Number,Received Part B Funding Indicator,Part B Grantee Name,Part B Grant Number,Received Part C Funding Indicator,Part C Grantee Name,Part C Grant Number,Received Part D Funding Indicator,Part D Grantee Name,Part D Grant Number,Reporting Year,HHS Region Number,HHS Region Code,HHS Region Name,State Federal Information Processing Standard Code,State Name,State County FIPS Code,County FIPS,County or County Equivalent Name,County Description,County within 100 Kilometers of U.S. - Mexico Border Indicator,U.S. - Mexico Border 100 Kilometer Status Indicator,U.S. - Mexico Border County Indicator,Complete County Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Congress Number Text,Congressional District Number,Congressional District Name,State FIPS and Congressional District Number Code,U.S. Congressional Representative Name,U.S. Congressional Representative Title,U.S. Representative Party Code,U.S. House of Representatives Member Website,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Common City Name with State Abbreviation,Common Congressional District Name,Common Congress Number Text,Common County Name with State Abbreviation,Common HHS Region Code,Common HHS Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State FIPS Code Congressional District Number,Common State Name,Common Postal Code,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,RWHAP Funded Services
03/25/2024,CLARION UNIVERSITY OF PENNSYLVANIA,840 Wood St,Clarion,PA,16214-1240,Other facility,Y,,,Y,"Health, Pennsylvania Department Of",X07HA00021,Y,,,Y,,,2023,3,03,Region 3,42,Pennsylvania,42031,031,Clarion,County            ,N,N,N,Clarion County,"Robert P. Casey, Jr.",Patrick J. Toomey,118,15,Pennsylvania District 15,4215,Glenn Thompson,Representative,R,https://thompson.house.gov,-79.37901459,41.2106731,"Clarion, PA",Pennsylvania District 15,118,"Clarion County, PA",03,Region 3,PA,42031,42,4215,Pennsylvania,16214,07/18/2024,2024/07/18,Administrative or technical support; Fiscal intermediary support; Other fiscal services; Technical assistance; Quality management; Outpatient/ambulatory medical care; Oral health care; Health Insurance Premium & Cost Sharing Assistance; Home and community-based health services; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Housing services; Linguistics services; Medical transportation services
03/25/2024,ESPERANZA HEALTH CENTER,4417 N 6th St,Philadelphia,PA,19140-2319,Publicly funded community health center,Y,"PHILADELPHIA, CITY OF",H89HA00013,Y,,,Y,"Esperanza Health Center, Inc.",H76HA00725,Y,,,2023,3,03,Region 3,42,Pennsylvania,42101,101,Philadelphia,County            ,N,N,N,Philadelphia County,"Robert P. Casey, Jr.",Patrick J. Toomey,118,02,Pennsylvania District 02,4202,Brendan F. Boyle,Representative,D,https://boyle.house.gov/,-75.13691613,40.01901906,"Philadelphia, PA",Pennsylvania District 02,118,"Philadelphia County, PA",03,Region 3,PA,42101,42,4202,Pennsylvania,19140,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Health education/risk reduction; Medical transportation services; Outreach services; Psychosocial support services; Ending the HIV Epidemic Services
03/25/2024,COMMUNITY HEALTH NET,1202 State St,Erie,PA,16501-1914,Other facility,Y,,,Y,,,Y,Community Health Net,H76HA00715,Y,,,2023,3,03,Region 3,42,Pennsylvania,42049,049,Erie,County            ,N,N,N,Erie County,"Robert P. Casey, Jr.",Patrick J. Toomey,118,16,Pennsylvania District 16,4216,Mike Kelly,Representative,R,https://kelly.house.gov,-80.08118355,42.12333114,"Erie, PA",Pennsylvania District 16,118,"Erie County, PA",03,Region 3,PA,42049,42,4216,Pennsylvania,16501,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Oral health care; Mental health services; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Food bank/home-delivered meals; Health education/risk reduction; Linguistics services; Medical transportation services; Outreach services; Psychosocial support services; Referral for health care/supportive services
03/25/2024,RURAL AIDS ACTION NETWORK,,,,,Other community-based service organization (CBO),Y,,,Y,,X07HA00028 / X07HA00,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Administrative or technical support; Medical case management (including treatment adherence); Food bank/home-delivered meals; Medical transportation services; Psychosocial support services
03/25/2024,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,55 Lake Avenue N,Worcester,MA,01655,Hospital or university-based clinic,Y,,,Y,"Public Health, Massachusetts Dept of",X07HA00082,Y,UNIVERSITY OF MASSACHUSETTS,H76HA00689,Y,,,2023,1,01,Region 1,25,Massachusetts,25027,027,Worcester,County            ,N,N,N,Worcester County,Elizabeth Warren,Edward J. Markey,118,02,Massachusetts District 02,2502,James P. McGovern,Representative,D,https://mcgovern.house.gov/,-71.76167233,42.27757354,"Worcester, MA",Massachusetts District 02,118,"Worcester County, MA",01,Region 1,MA,25027,25,2502,Massachusetts,01655,07/18/2024,2024/07/18,Planning or evaluation; Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Mental health services; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Health education/risk reduction; Medical transportation services; Psychosocial support services; Referral for health care/supportive services; Other Professional Services
03/25/2024,REGIONAL MEDICAL CENTER OF LUBEC INC,43 S Lubec Rd,Lubec,ME,04652-3620,Publicly funded community health center,Y,,,Y,,,Y,REGIONAL MEDICAL CENTER AT LUBEC ME INC,H76HA00729,Y,,,2023,1,01,Region 1,23,Maine,23029,029,Washington,County            ,N,N,N,Washington County,Susan M. Collins,"Angus S., Jr. King",118,02,Maine District 02,2302,Jared F. Golden,Representative,D,https://golden.house.gov,-66.99929128,44.84599311,"Lubec, ME",Maine District 02,118,"Washington County, ME",01,Region 1,ME,23029,23,2302,Maine,04652,07/18/2024,2024/07/18,Planning or evaluation; Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Home and community-based health services; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Emergency financial assistance; Medical transportation services
03/25/2024,SOUTHWEST COMMUNITY HEALTH CENTER INC,,,,,Publicly funded community health center,Y,"NEW HAVEN, CITY OF (INC)",H89HA00029,Y,,,Y,"Southwest Community Health Center, Inc.",H76HA00007,Y,"Community Health Center Association of Connecticut, Inc.",H12HA24859,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Oral health care; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Substance abuse services-outpatient; Medical transportation services; Outreach services
03/25/2024,"GREATER LAWRENCE FAMILY HEALTH CENTER, INC",1 Griffin Brook Drive,Methuen,MA,01844-1865,Publicly funded community health center,Y,Boston Public Health Commission,H89HA00011,Y,,,Y,"Greater Lawrence Family Health Center, Inc.",H76HA00008,Y,,,2023,1,01,Region 1,25,Massachusetts,25009,009,Essex,County            ,N,N,N,Essex County,Elizabeth Warren,Edward J. Markey,118,03,Massachusetts District 03,2503,Lori Trahan,Representative,D,https://trahan.house.gov,-71.22982012,42.69126467,"Methuen, MA",Massachusetts District 03,118,"Essex County, MA",01,Region 1,MA,25009,25,2503,Massachusetts,01844,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Early intervention services (Parts A and B); Mental health services; Medical case management (including treatment adherence); Emergency financial assistance; Medical transportation services
03/25/2024,"OUTER CAPE HEALTH SERVICES, INC.",,,,,Publicly funded community health center,Y,,,Y,"Public Health, Massachusetts Dept of",X07HA00082,Y,,,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Medical case management (including treatment adherence)
03/25/2024,DIMOCK COMMUNITY HEALTH CENTER,55 Dimock Street,Roxbury,MA,02119-1029,Publicly funded community health center,Y,Boston Public Health Commission,H89HA00011,Y,,,Y,"Dimock Community Health Center, Inc.",H76HA00012,Y,"Dimock Community Health Center, Inc.",H12HA24846,2023,1,01,Region 1,25,Massachusetts,25025,025,Suffolk,County            ,N,N,N,Suffolk County,Elizabeth Warren,Edward J. Markey,118,07,Massachusetts District 07,2507,Ayanna Pressley,Representative,D,https://pressley.house.gov,-71.09765586,42.31980224,"Roxbury, MA",Massachusetts District 07,118,"Suffolk County, MA",01,Region 1,MA,25025,25,2507,Massachusetts,02119,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Health education/risk reduction; Medical transportation services; Psychosocial support services
03/25/2024,GREATER NEW BEDFORD COMMUNITY HEALTH CEN,874 Purchase Street,New Bedford,MA,02740-6232,Publicly funded community health center,Y,,,Y,"Public Health, Massachusetts Dept of",X07HA00082,Y,"GREATER NEW BEDFORD COMMUNITY HEALTH CENTER,INC.",H76HA00013,Y,"GREATER NEW BEDFORD COMMUNITY HEALTH CENTER,INC.",H12HA24860,2023,1,01,Region 1,25,Massachusetts,25005,005,Bristol,County            ,N,N,N,Bristol County,Elizabeth Warren,Edward J. Markey,118,09,Massachusetts District 09,2509,William R. Keating,Representative,D,https://keating.house.gov/,-70.92568302,41.63622991,"New Bedford, MA",Massachusetts District 09,118,"Bristol County, MA",01,Region 1,MA,25005,25,2509,Massachusetts,02740,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Medical transportation services; Psychosocial support services
03/25/2024,CORNELL SCOTT HILL HEALTH CORPORATION,400 Columbus Ave,New Haven,CT,06519-1233,Publicly funded community health center,Y,"NEW HAVEN, CITY OF (INC)",H89HA00029,Y,,,Y,Cornell Scott-Hill Health Corporation,H76HA00014,Y,"Community Health Center Association of Connecticut, Inc.",H12HA24859,2023,1,01,Region 1,09,Connecticut,09009,009,New Haven,County            ,N,N,N,New Haven County,Richard Blumenthal,Christopher Murphy,118,03,Connecticut District 03,0903,Rosa L. DeLauro,Representative,D,https://delauro.house.gov/,-72.93960482,41.29767248,"New Haven, CT",Connecticut District 03,118,"New Haven County, CT",01,Region 1,CT,09009,09,0903,Connecticut,06519,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Oral health care; Medical nutrition therapy; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Emergency financial assistance; Health education/risk reduction; Medical transportation services; Other Professional Services
03/25/2024,"FENWAY COMMUNITY HEALTH CENTER, INC.",,,,,Publicly funded community health center,Y,Boston Public Health Commission,H89HA00011,Y,"Public Health, Massachusetts Dept of",X07HA00082,Y,"Fenway Community Health Center, Inc.",H76HA00015,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Oral health care; Mental health services; Medical case management (including treatment adherence); Emergency financial assistance; Housing services; Medical transportation services; Psychosocial support services; Other Professional Services
03/25/2024,"HARBOR HEALTH SERVICES, INC.",1135 Morton Street,Mattapan,MA,02126,Publicly funded community health center,Y,Boston Public Health Commission,H89HA00011,Y,,,Y,"Harbor Health Services, Inc.",H76HA00016,Y,,,2023,1,01,Region 1,25,Massachusetts,25025,025,Suffolk,County            ,N,N,N,Suffolk County,Elizabeth Warren,Edward J. Markey,118,07,Massachusetts District 07,2507,Ayanna Pressley,Representative,D,https://pressley.house.gov,-71.0748912,42.27578731,"Mattapan, MA",Massachusetts District 07,118,"Suffolk County, MA",01,Region 1,MA,25025,25,2507,Massachusetts,02126,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Emergency financial assistance; Food bank/home-delivered meals; Housing services; Medical transportation services
03/25/2024,THE MIRIAM HOSPITAL,164 Summit Ave,Providence,RI,02906-2853,Hospital or university-based clinic,Y,,,Y,,,Y,THE MIRIAM HOSPITAL,H76HA00018,Y,"AIDS CARE OCEAN STATE, INC.",H12HA24854,2023,1,01,Region 1,44,Rhode Island,44007,007,Providence,County            ,N,N,N,Providence County,Jack Reed,Sheldon Whitehouse,118,01,Rhode Island District 01,4401,David N. Cicilline,Representative,D,https://cicilline.house.gov/,-71.39763043,41.85159583,"Providence, RI",Rhode Island District 01,118,"Providence County, RI",01,Region 1,RI,44007,44,4401,Rhode Island,02906,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Health Insurance Premium & Cost Sharing Assistance; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Health education/risk reduction; Housing services; Medical transportation services; Outreach services
03/25/2024,FAMILY HEALTH CENTER OF WORCESTER INC,,,,,Publicly funded community health center,Y,,,Y,,,Y,,H76HA00019 / H76HA00,Y,"Public Health, Massachusetts Dept of",H12HA24867,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Planning or evaluation; Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Health education/risk reduction; Linguistics services; Medical transportation services; Psychosocial support services
03/25/2024,OPTIMUS HEALTH CARE,982 E Main St,Bridgeport,CT,06608-1913,Publicly funded community health center,Y,"NEW HAVEN, CITY OF (INC)",H89HA00029,Y,"Public Health, Connecticut Department of",X07HA00022,Y,"OPTIMUS HEALTH CARE, INC.",H76HA00021,Y,"Community Health Center Association of Connecticut, Inc.",H12HA24859,2023,1,01,Region 1,09,Connecticut,09001,001,Fairfield,County            ,N,N,N,Fairfield County,Richard Blumenthal,Christopher Murphy,118,04,Connecticut District 04,0904,James A. Himes,Representative,D,https://himes.house.gov/,-73.180736,41.18791984,"Bridgeport, CT",Connecticut District 04,118,"Fairfield County, CT",01,Region 1,CT,09001,09,0904,Connecticut,06608,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Medical case management (including treatment adherence); Medical transportation services; Other Professional Services
03/25/2024,"WILLIAM F. RYAN COMMUNITY HEALTH CENTER, INC",110 W 97th St,New York,NY,10025-6450,Publicly funded community health center,Y,,,Y,"HEALTH RESEARCH, INC.",X07HA00025,Y,"William F. Ryan Community Health Center, Inc.",H76HA00024,Y,,,2023,2,02,Region 2,36,New York,36061,061,New York,County            ,N,N,N,New York County,Charles E. Schumer,Kirsten E. Gillibrand,118,12,New York District 12,3612,Jerrold Nadler,Representative,D,https://nadler.house.gov,-73.96757115,40.79364802,"New York, NY",New York District 12,118,"New York County, NY",02,Region 2,NY,36061,36,3612,New York,10025,07/18/2024,2024/07/18,Planning or evaluation; Administrative or technical support; Other fiscal services; Quality management; Outpatient/ambulatory medical care; Oral health care; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Health education/risk reduction; Outreach services; Psychosocial support services; Referral for health care/supportive services; Other Professional Services
03/25/2024,"OPEN DOOR FAMILY MEDICAL CENTER, INC.",165 Main St,Ossining,NY,10562-4702,Publicly funded community health center,Y,"NEW YORK, CITY OF",H89HA00015,Y,,,Y,"OPEN DOOR FAMILY MEDICAL CENTER, INC.",H76HA00028,Y,,,2023,2,02,Region 2,36,New York,36119,119,Westchester,County            ,N,N,N,Westchester County,Charles E. Schumer,Kirsten E. Gillibrand,118,17,New York District 17,3617,Michael Lawler,Representative,R,https://lawler.house.gov,-73.86248741,41.16135444,"Ossining, NY",New York District 17,118,"Westchester County, NY",02,Region 2,NY,36119,36,3617,New York,10562,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Case management (non-medical); Outreach services
